globalIndex,wordList,unit,index,word,start,end,audioFile,status,evidence,confidence,notes
167,1,2,66,airtight,178.81,179.41,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
168,1,2,67,extinguish,181.47,182.26,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
169,1,2,68,frigid,184.28,184.87,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
170,1,2,69,contaminate,186.89,187.65,ysgpc/Word List1/Word List1-Unit2.mp3,corrected,isolated-word-double-pass,0.87864,
171,1,2,70,laudable,189.68,190.24,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
172,1,2,71,grandeur,192.29,192.84,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
173,1,2,72,divulge,194.86,195.53,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
174,1,2,73,magnificent,197.56,198.37,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
175,1,2,74,dissertation,200.41,201.12,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
176,1,2,75,instill,203.14,203.76,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
177,1,2,76,rummage,205.77,206.31,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
178,1,2,77,tenuous,208.35,208.95,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
179,1,2,78,foster,211.01,211.55,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
180,1,2,79,meticulous,213.57,214.36,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
181,1,2,80,slip,216.38,216.91,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
182,1,2,81,jumble,218.93,219.41,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
183,1,2,82,finitude,221.48,222.18,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
184,1,2,83,mainstream,224.19,224.92,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
185,1,2,84,afflict,226.94,227.5,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
186,1,2,85,fraudulent,229.59,230.31,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
187,1,2,86,inalienable,232.34,233.02,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
188,1,2,87,zoology,235.02,235.74,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
189,1,2,88,pejorative,237.76,238.49,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
190,1,2,89,lavish,240.51,241.09,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
191,1,2,90,considerate,243.12,243.81,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
192,1,2,91,evergreen,245.92,246.46,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
193,1,2,92,debate,248.48,248.95,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
194,1,2,93,nausea,250.98,251.48,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
195,1,2,94,extend,253.52,254.17,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
196,1,2,95,accost,256.24,256.84,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
197,1,2,96,flee,258.92,259.39,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
198,1,2,97,frost,261.44,262.01,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr,,
199,1,2,98,obtrude,264.1,264.73,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr+additional-lexical-check,,
200,1,2,99,enrapture,266.8,267.5,ysgpc/Word List1/Word List1-Unit2.mp3,recognized,whole-track-asr+additional-lexical-check,,
201,1,3,1,revenue,7.2,7.74,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
202,1,3,2,virtue,9.75,10.34,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
203,1,3,3,attorney,12.35,12.92,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
204,1,3,4,beat,14.92,15.29,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
205,1,3,5,adapt,17.31,17.84,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
206,1,3,6,forensic,19.88,20.55,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
207,1,3,7,pliable,22.6,23.11,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
208,1,3,8,prodigious,25.15,25.8,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
209,1,3,9,stagnant,27.81,28.53,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
210,1,3,10,insidious,30.54,31.3,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
211,1,3,11,abroad,33.32,33.87,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
212,1,3,12,fought,35.99,36.45,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
213,1,3,13,indifferent,38.48,39.25,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
214,1,3,14,bribe,41.26,41.71,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
215,1,3,15,encyclopedia,43.74,44.75,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
216,1,3,16,reprove,46.77,47.43,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
217,1,3,17,substitute,49.46,50.23,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
218,1,3,18,flamboyant,52.28,53.08,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
219,1,3,19,incalculable,55.1,56.0,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
220,1,3,20,interim,58.03,58.6,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
221,1,3,21,defraud,60.63,61.27,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
222,1,3,22,verify,63.29,63.95,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
223,1,3,23,superstition,65.98,66.86,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
224,1,3,24,rain,68.88,69.35,ysgpc/Word List1/Word List1-Unit3.mp3,corrected,isolated-word-double-pass,0.2182,
225,1,3,25,precautions,71.4,72.09,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
226,1,3,26,liability,74.1,74.88,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
227,1,3,27,intrepid,76.91,77.59,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
228,1,3,28,wholesome,79.64,80.21,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
229,1,3,29,dispute,82.22,82.85,ysgpc/Word List1/Word List1-Unit3.mp3,recognized,whole-track-asr,,
